"","yearMonth15","station_id","depth","A-TOT","BOD5","Chl-a","CO2","Density","NH4-N","NO2-N","NO3-N","NO3-N + NO2-N","NO3/PO4","O2","O2_sat","Org-N","pH","PO4-P","SAL","SECCHI","SiO3-Si","T","TOT-N","TOT-N/TOT-P","TOT-P"
"992",1987-06-15,"000F",5,2.79,42.87,NA,2.34,25.2733333333333,0.38,0.01,0.7,0.71,23.33,238.3,105.541666666667,NA,8.41,0.03,35.93,NA,NA,20.8366666666667,NA,NA,NA
"993",1987-06-15,"000F",10,1.37,49.13,NA,1.07,25.8641666666667,0.69,0.02,0.37,0.39,18.5,241.908333333333,105.666666666667,NA,8.39,0.02,36.4091666666667,NA,NA,19.9608333333333,NA,NA,NA
"994",1987-06-15,"000F",15,NA,NA,NA,NA,27.1472727272727,NA,NA,NA,NA,NA,227.685454545455,92.3454545454545,NA,NA,NA,36.7781818181818,NA,NA,15.9618181818182,NA,NA,NA
"995",1987-06-15,"000F",21,2.77,23.22,NA,2.42,27.4046153846154,3.19,0.12,1.65,1.77,33,192.69,77.0692307692308,NA,8.25,0.05,36.9,NA,NA,15.2353846153846,NA,NA,NA
"996",1987-06-15,"000K",0,2.75,88.87,NA,2.11,22.47,1.43,0.05,2.04,2.09,204,266.62,118.2,NA,8.61,0.01,32.66,NA,NA,22,NA,NA,NA
"997",1987-06-15,"000K",5,2.74,39.3,NA,2.19,25.12,2.74,0.01,0.6,0.61,60,226.87,99,NA,8.51,0.01,35.52,NA,NA,20.23,NA,NA,NA
"998",1987-06-15,"000K",10,2.82,58.06,NA,2.28,26.48,2.61,0.04,0.72,0.76,72,219.73,92.1,NA,8.44,0.01,36.51,NA,NA,17.92,NA,NA,NA
"999",1987-06-15,"000K",16,2.66,45.55,NA,2.16,26.85,0.97,0.01,0.37,0.38,37,232.23,95.9,NA,8.46,0.01,36.67,NA,NA,16.93,NA,NA,NA
"1000",1987-06-15,"00MA",0,2.8,24.56,NA,2.31,23.48,1.84,0.08,2.34,2.42,29.25,235.36,105.6,NA,8.39,0.08,34.07,NA,NA,22.2,NA,NA,NA
"1001",1987-06-15,"00MA",5,2.7,29.03,NA,2.23,25.7,1.37,0.01,0.55,0.56,11,255.01,110.2,NA,8.38,0.05,36.36,NA,NA,19.46,NA,NA,NA
"1002",1987-06-15,"00MA",10,2.67,30.82,NA,2.23,26.77,1.7,0.03,0.38,0.41,5.43,252.33,105.8,NA,8.35,0.07,36.8,NA,NA,17.62,NA,NA,NA
"1003",1987-06-15,"00MA",16,2.71,16.52,NA,2.33,27.19,3.57,0.11,1.03,1.14,12.88,218.39,89.1,NA,8.31,0.08,36.92,NA,NA,16.23,NA,NA,NA
"1004",1987-07-15,"000F",0,2.48,37.07,NA,1.92,23.8192857142857,1.27,0.01,0.44,0.45,11,213.507857142857,103.242857142857,NA,8.52,0.04,35.9792857142857,NA,NA,25.9571428571429,NA,NA,NA
"1005",1987-07-15,"000F",5,1.97,13.4,NA,1.47,24.4042857142857,1.83,0.04,0.47,0.51,15.67,228.741818181818,108.745454545455,NA,8.5,0.03,36.305,NA,NA,24.845,NA,NA,NA
"1006",1987-07-15,"000F",10,1.97,35.73,NA,1.5,25.7885714285714,0.77,0.01,0.44,0.45,44,235.997142857143,100.378571428571,NA,8.51,0.01,37.0878571428571,NA,NA,22.0671428571429,NA,NA,NA
"1007",1987-07-15,"000F",15,NA,NA,NA,NA,26.7169230769231,NA,NA,NA,NA,NA,242.462727272727,105.654545454545,NA,NA,NA,37.3476923076923,NA,NA,19.4746153846154,NA,NA,NA
"1008",1987-07-15,"000F",21,1.57,54.93,NA,1.2,27.6333333333333,1.59,0.09,1.13,1.22,10.27,150.745384615385,61.4,NA,8.48,0.11,37.3985714285714,NA,NA,15.8666666666667,NA,NA,NA
"1009",1987-07-15,"000K",0,2.75,22.33,NA,2.1,24.02,1.31,0.01,0.17,0.18,2.13,206.33,99.9,NA,8.51,0.08,36.22,NA,NA,25.9,NA,NA,NA
"1010",1987-07-15,"000K",5,2.79,30.82,NA,2.16,24.76,1.22,0.06,0.45,0.51,6.43,217.49,102.1,NA,8.51,0.07,36.44,NA,NA,24,NA,NA,NA
"1011",1987-07-15,"000K",10,2.83,25.46,NA,2.17,26,1.31,0.04,0.34,0.38,2.83,242.5,109.5,NA,8.54,0.12,37.1,NA,NA,21.48,NA,NA,NA
"1012",1987-07-15,"00MA",0,2.72,16.08,NA,2.1,24.49,0.98,0.01,0.29,0.3,29,225.09,107,NA,8.5,0.01,36.4,NA,NA,24.8,NA,NA,NA
"1013",1987-07-15,"00MA",5,2.79,29.48,NA,2.2,25.5,0.52,0.01,1.97,1.98,197,244.74,111.9,NA,8.51,0.01,36.8,NA,NA,22.39,NA,NA,NA
"1014",1987-07-15,"00MA",10,2.69,31.71,NA,2.11,26.15,3.62,0.07,2.08,2.15,208,252.33,112.3,NA,8.5,0.01,37.07,NA,NA,20.78,NA,NA,NA
"1015",1987-07-15,"00MA",16,2.78,33.94,NA,2.19,26.335,1.4,0.07,1.46,1.53,146,235.805,103.45,NA,8.49,0.01,36.92,NA,NA,20.005,NA,NA,NA
"1016",1987-08-15,"000F",0,1.67,74.14,NA,1.37,23.1521428571429,1.47,0.01,0.75,0.76,75,225.150714285714,107.885714285714,NA,8.31,0.01,34.9735714285714,NA,NA,25.6571428571429,NA,NA,NA
"1017",1987-08-15,"000F",5,1.73,46.45,NA,1.4,24.3357142857143,1.14,0.01,0.76,0.77,15.2,221.131428571429,104.235714285714,NA,8.3,0.05,36.0292857142857,NA,NA,24.3807142857143,NA,NA,NA
"1018",1987-08-15,"000F",10,1.76,36.17,NA,1.42,25.01,1.11,0.01,0.49,0.5,12.25,229.583571428571,107.171428571429,NA,8.29,0.04,36.6235714285714,NA,NA,23.6228571428571,NA,NA,NA
"1019",1987-08-15,"000F",15,NA,NA,NA,NA,25.8907142857143,NA,NA,NA,NA,NA,194.941428571429,88.6642857142857,NA,NA,NA,37.1264285714286,NA,NA,21.8885714285714,NA,NA,NA
"1020",1987-08-15,"000F",21,NA,NA,NA,NA,26.6864285714286,NA,NA,NA,NA,NA,124.536428571429,54.6857142857143,NA,NA,NA,37.4614285714286,NA,NA,19.9071428571429,NA,NA,NA
"1021",1987-08-15,"000K",0,1.57,27.69,NA,1.29,23.9,1.78,0.01,0.28,0.29,9.33,220.17,104.3,NA,8.31,0.03,35.61,NA,NA,24.8,NA,NA,NA
"1022",1987-08-15,"000K",5,1.67,19.2,NA,1.34,24.66,1.54,0.01,0.2,0.21,2.86,225.53,107.6,NA,8.31,0.07,36.62,NA,NA,24.79,NA,NA,NA
"1023",1987-08-15,"000K",10,1.7,23.22,NA,1.37,25.14,1.08,0.01,0.21,0.22,0.95,207.67,96.8,NA,8.3,0.22,36.74,NA,NA,23.47,NA,NA,NA
"1024",1987-08-15,"000K",16,1.7,32.6,NA,1.37,25.51,1.54,0.02,0.22,0.24,1.57,210.35,97.3,NA,8.28,0.14,37.07,NA,NA,23.05,NA,NA,NA
"1025",1987-08-15,"00MA",0,1.7,18.76,NA,1.43,24.19,0.67,0.02,0.22,0.24,22,211.69,99.4,NA,8.26,0.01,35.77,NA,NA,24.2,NA,NA,NA
"1026",1987-08-15,"00MA",5,1.73,20.54,NA,1.43,24.17,1.15,0.02,0.25,0.27,8.33,217.94,102.1,NA,8.31,0.03,35.7,NA,NA,24.1,NA,NA,NA
"1027",1987-08-15,"00MA",10,1.73,33.49,NA,1.42,25.49,1,0.05,1.07,1.12,10.7,210.8,97.7,NA,8.27,0.1,37.07,NA,NA,23.13,NA,NA,NA
"1028",1987-08-15,"00MA",16,1.57,25.01,NA,1.32,26.12,1.97,0.16,0.91,1.07,6.07,189.36,86.3,NA,8.22,0.15,37.5,NA,NA,22.04,NA,NA,NA
"1029",1987-09-15,"000F",0,1.38,59.4,NA,1.105,23.7525,1.26,0.04,1.07,1.11,21.4,209.203125,98.8125,NA,8.325,0.05,35.385625,NA,NA,24.7125,NA,NA,NA
"1030",1987-09-15,"000F",5,1.54,41.98,NA,1.29,24.3406666666667,1.29,0.09,1.34,1.43,16.75,201.504666666667,94.3533333333333,NA,8.27,0.08,35.9053333333333,NA,NA,24.0473333333333,NA,NA,NA
"1031",1987-09-15,"000F",10,1.455,76.82,NA,1.14,24.6225,1.03,0.07,1.29,1.36,43,212.05,99.34375,NA,8.32,0.03,36.235625,NA,NA,23.939375,NA,NA,NA
"1032",1987-09-15,"000F",15,NA,NA,NA,NA,25.4171428571429,NA,NA,NA,NA,NA,195.609285714286,90.4428571428572,NA,NA,NA,36.8985714285714,NA,NA,22.9471428571429,NA,NA,NA
"1033",1987-09-15,"000F",16,NA,NA,NA,NA,25.9,NA,NA,NA,NA,NA,191.59,89.2,NA,NA,NA,37.61,NA,NA,23.13,NA,NA,NA
"1034",1987-09-15,"000F",21,1.51,26.8,NA,1.34,26.3688888888889,6.31,0.55,2.1,2.65,7,91.3794444444444,40.5666666666667,NA,7.96,0.3,37.195625,NA,NA,20.3872222222222,NA,NA,NA
"1035",1987-09-15,"000K",0,1.4,40.64,NA,1.08,24.43,0.92,0.02,0.63,0.65,63,217.49,103.1,NA,8.36,0.01,36.24,NA,NA,24.6,NA,NA,NA
"1036",1987-09-15,"000K",5,1.36,89.77,NA,1.05,24.5,0.82,0.02,0.71,0.73,14.2,217.94,102.9,NA,8.35,0.05,36.24,NA,NA,24.4,NA,NA,NA
"1037",1987-09-15,"000K",10,1.32,16.08,NA,1.02,24.94,0.76,NA,0.52,NA,17.33,210.35,98.8,NA,8.35,0.03,36.64,NA,NA,23.9,NA,NA,NA
"1038",1987-09-15,"000K",16,1.36,26.35,NA,1.11,25.18,0.37,0.09,0.39,0.48,2.05,164.8,76.7,NA,8.26,0.19,36.76,NA,NA,23.4,NA,NA,NA
"1039",1987-09-15,"00MA",0,1.47,23.67,NA,1.09,24.72,1.38,0.07,0.75,0.82,75,216.15,101.9,NA,8.44,0.01,36.47,NA,NA,24.2,NA,NA,NA
"1040",1987-09-15,"00MA",5,1.44,42.87,NA,1.07,24.88,1.47,0.13,1.05,1.18,105,215.26,101.4,NA,8.43,0.01,36.64,NA,NA,24.1,NA,NA,NA
"1041",1987-09-15,"00MA",10,1.57,78.16,NA,1.21,24.96,1.03,0.04,0.48,0.52,48,217.94,102.5,NA,8.41,0.01,36.71,NA,NA,24.9,NA,NA,NA
"1042",1987-09-15,"00MA",16,1.47,19.65,NA,1.17,25.52,1.77,0.08,0.69,0.77,69,193.82,90.5,NA,8.32,0.01,37.21,NA,NA,23.4,NA,NA,NA
"1043",1987-10-15,"000F",0,1.64,48.23,NA,1.225,25.87,1.29,0.02,1.87,1.89,37.4,226.205,98.75,NA,8.505,0.05,36.405,NA,NA,19.945,NA,NA,NA
"1044",1987-10-15,"000F",5,1.48,29.48,NA,1.09,26.07,1.59,0.06,0.79,0.85,4.16,209.46,90.9,NA,8.52,0.19,36.55,NA,NA,19.6,NA,NA,NA
"1045",1987-10-15,"000F",10,1.78,49.13,NA,1.385,26,0.88,0.01,0.53,0.54,10.6,214.37,93.75,NA,8.46,0.05,36.585,NA,NA,19.99,NA,NA,NA
"1046",1987-10-15,"000F",16,1.83,NA,NA,1.47,26.35,NA,NA,NA,NA,NA,161.67,71.5,NA,8.39,NA,37.19,NA,NA,20.4,NA,NA,NA
"1047",1987-10-15,"000F",21,1.6,58.5,NA,1.28,26.545,2.42,0.09,0.77,0.86,4.81,175.065,76.7,NA,8.34,0.16,37.255,NA,NA,19.85,NA,NA,NA
"1048",1987-10-15,"000K",0,1.86,45.11,NA,1.41,25.84,1.45,0.11,4.56,4.67,19.83,218.39,93.9,NA,8.48,0.23,36.09,NA,NA,19.2,NA,NA,NA
"1049",1987-10-15,"000K",5,1.8,41.98,NA,1.39,25.89,0.45,0.05,0.64,0.69,6.4,215.71,93.5,NA,8.46,0.1,36.31,NA,NA,19.6,NA,NA,NA
"1050",1987-10-15,"000K",10,1.75,41.98,NA,1.34,26.08,0.87,0.05,0.38,0.43,5.43,214.37,92.8,NA,8.46,0.07,36.51,NA,NA,19.5,NA,NA,NA
"1051",1987-10-15,"000K",16,1.62,46.89,NA,1.23,26.08,2.41,0.1,0.65,0.75,3.61,186.23,80.8,NA,8.45,0.18,36.56,NA,NA,19.6,NA,NA,NA
"1052",1987-10-15,"00MA",0,1.46,36.17,NA,1.07,25.87,1.38,0.04,0.57,0.61,7.13,221.07,95.5,NA,8.49,0.08,36.2,NA,NA,19.4,NA,NA,NA
"1053",1987-10-15,"00MA",5,1.55,87.09,NA,1.17,25.88,1.2,0.05,0.32,0.37,4,214.81,93.1,NA,8.47,0.08,36.27,NA,NA,19.55,NA,NA,NA
"1054",1987-10-15,"00MA",10,1.46,81.73,NA,1.07,25.9,1.03,0.04,0.1,0.14,0.67,224.64,97.4,NA,8.49,0.15,36.31,NA,NA,19.58,NA,NA,NA
"1055",1987-10-15,"00MA",16,1.48,146.48,NA,1.13,26.17,2.74,0.23,1.06,1.29,4.08,247.86,108.6,NA,8.41,0.26,36.82,NA,NA,20,NA,NA,NA
"1056",1987-11-15,"000F",0,2.74,47.34,NA,2.35,24.3,1.9,0.16,11.2,11.36,373.33,263.94,96.3,NA,8.45,0.03,32.05,NA,NA,12.15,NA,NA,NA
"1057",1987-11-15,"000F",5,2.67,18.31,NA,2.23,27.34,3.26,0.02,3.54,3.56,50.57,228.21,92.1,NA,8.43,0.07,36.92,NA,NA,15.55,NA,NA,NA
"1058",1987-11-15,"000F",10,2.73,56.72,NA,2.27,27.5,6.96,0.07,2.19,2.26,5.62,232.23,93.7,NA,8.42,0.39,37.12,NA,NA,15.55,NA,NA,NA
"1059",1987-11-15,"000F",21,2.72,47.56,NA,2.27,27.055,2.49,0.07,1.53,1.6,8.5,208.565,83.7,NA,8.42,0.18,37.1,NA,NA,15.305,NA,NA,NA
"1060",1987-11-15,"000K",0,2.7,43.32,NA,2.18,25.33,1.62,0.14,2.95,3.09,26.82,246.52,99.3,NA,8.48,0.11,35.71,NA,NA,15.9,NA,NA,NA
"1061",1987-11-15,"000K",5,2.68,148.72,NA,2.23,26.84,1.85,0.23,1.8,2.03,180,254.12,103.4,NA,8.47,0.01,36.44,NA,NA,16.2,NA,NA,NA
"1062",1987-11-15,"000K",10,2.73,64.31,NA,2.25,27.34,1.47,0.07,1.48,1.55,14.8,227.77,93.2,NA,8.46,0.1,37.14,NA,NA,16.34,NA,NA,NA
"1063",1987-11-15,"000K",16,2.73,58.06,NA,2.25,27.31,1.49,0.09,1.16,1.25,10.55,239.38,97.9,NA,8.43,0.11,37.1,NA,NA,16.3,NA,NA,NA
"1064",1987-11-15,"00MA",0,2.61,58.5,NA,2.16,27.56,4.1,0.13,1.89,2.02,63,236.25,94,NA,8.49,0.03,37.1,NA,NA,15.2,NA,NA,NA
"1065",1987-11-15,"00MA",5,2.72,78.6,NA,2.24,27.1,3.19,0.14,1.14,1.28,114,248.31,100.9,NA,8.47,0.01,36.73,NA,NA,16.01,NA,NA,NA
"1066",1987-11-15,"00MA",10,2.72,26.35,NA,2.24,26.79,2.94,0.07,0.8,0.87,80,239.38,96.9,NA,8.47,0.01,36.33,NA,NA,16.02,NA,NA,NA
"1067",1987-11-15,"00MA",16,2.76,16.97,NA,2.2,27.12,3.37,0.08,1.31,1.39,26.2,208.56,84.7,NA,8.48,0.05,36.76,NA,NA,16.02,NA,NA,NA
"1068",1987-12-15,"000F",0,2.7,105.4,NA,2.22333333333333,28.124,1.05,0.23,0.792,1.022,40.542,268.41,100.8,NA,8.46333333333333,0.092,36.976,NA,NA,12.14,NA,NA,NA
"1069",1987-12-15,"000F",5,2.6,81.73,NA,2.21,27.964,0.87,0.426,0.592,1.018,52.366,260.81,99.1,NA,8.38,0.042,36.96,NA,NA,12.848,NA,NA,NA
"1070",1987-12-15,"000F",10,2.59,71.9,NA,2.22,28.32,1.086,0.498,0.716,1.214,44.72,258.58,98.3,NA,8.36,0.068,37.436,NA,NA,12.908,NA,NA,NA
"1071",1987-12-15,"000F",21,2.67,57.16,NA,2.28,28.2,1.332,0.808,1.56,2.368,59.964,246.745,93.25,NA,8.37,0.144,37.338,NA,NA,12.615,NA,NA,NA
"1072",1987-12-15,"000K",0,2.72,61.18,NA,2.3,27.23,2.25,0.42,4.99,5.41,0.53,282.7,104.2,NA,8.42,9.46,35.7,NA,NA,11.6,NA,NA,NA
"1073",1987-12-15,"000K",5,2.64,114.78,NA,2.2,28.35,1.29,0.21,1.07,1.28,4.12,271.98,101.8,NA,8.43,0.26,37.21,NA,NA,11.87,NA,NA,NA
"1074",1987-12-15,"000K",10,2.64,93.79,NA,2.22,28.24,1.5,0.31,0.78,1.09,1.73,279.12,103.9,NA,8.42,0.45,37.01,NA,NA,11.68,NA,NA,NA
"1075",1987-12-15,"000K",16,2.7,126.83,NA,2.28,27.97,1.82,0.53,0.77,1.3,11,254.12,94.8,NA,8.4,0.07,36.73,NA,NA,11.93,NA,NA,NA
"1076",1987-12-15,"00MA",0,2.63,89.32,NA,2.21,27.95,2.805,0.57,1.675,2.245,31.3,271.98,101.3,NA,8.46,0.1,36.745,NA,NA,12.15,NA,NA,NA
"1077",1987-12-15,"00MA",5,2.64,47.34,NA,2.18,28.515,2.195,1.21,2.25,3.46,20.75,260.37,98.6,NA,8.45,0.185,37.61,NA,NA,12.64,NA,NA,NA
"1078",1987-12-15,"00MA",10,2.61,76.82,NA,2.19,28.385,3.405,0.85,1.48,2.33,46.89,257.24,97.8,NA,8.42,0.14,37.44,NA,NA,12.615,NA,NA,NA
"1079",1987-12-15,"00MA",16,2.6,41.09,NA,2.21,28.415,2.335,0.535,0.835,1.37,6.02,262.6,98.8,NA,8.38,0.155,37.4,NA,NA,12.31,NA,NA,NA
"1080",1988-01-15,"000F",0,2.67,96.02,NA,2.26,28.47,1.63,0.5,0.99,1.49,7.07,269.3,101,NA,8.4,0.14,37.39,NA,0.01,12,NA,NA,NA
"1081",1988-01-15,"000F",5,2.73,76.37,NA,2.31,28.36,1.74,0.52,1.26,1.78,11.45,265.28,96.4,NA,8.39,0.11,36.92,NA,0.35,10.62,NA,NA,NA
"1082",1988-01-15,"000F",10,2.52,67.44,NA,2.15,28.29,2.13,0.49,0.74,1.23,14.8,271.09,98.4,NA,8.38,0.05,36.83,NA,0.01,10.61,NA,NA,NA
"1083",1988-01-15,"000F",21,2.68,25.46,NA,2.29,28.38,1.67,0.72,0.59,1.31,3.28,237.59,88.75,NA,8.37,0.18,37.09,NA,0.01,11.86,NA,NA,NA
"1084",1988-01-15,"000K",0,2.64,142.47,NA,2.27,28.24,2.52,0.65,1.51,2.16,30.2,270.19,98,NA,8.35,0.05,36.76,NA,NA,10.6,NA,NA,NA
"1085",1988-01-15,"000K",5,2.67,48.23,NA,2.26,28.22,2.07,0.82,2.22,3.04,27.75,261.71,94.8,NA,8.4,0.08,36.69,NA,NA,10.46,NA,NA,NA
"1086",1988-01-15,"000K",10,2.62,83.07,NA,2.24,28.12,2.71,0.67,1.93,2.6,137.86,260.37,94.9,NA,8.41,0.01,36.65,NA,NA,10.81,NA,NA,NA
"1087",1988-01-15,"000K",16,2.76,66.1,NA,2.33,28.43,2.56,0.78,1.7,2.48,56.67,260.81,95,NA,8.42,0.03,37.03,NA,NA,10.72,NA,NA,NA
"1088",1988-01-15,"00MA",0,2.66,125.05,NA,2.22,27.8,1.99,0.75,1.71,2.46,9,271.53,103.7,NA,8.38,0.19,36.87,NA,0.01,13,NA,NA,NA
"1089",1988-01-15,"00MA",5,2.67,16.08,NA,2.22,28.18,0.88,0.65,1.18,1.83,7.87,257.69,93.5,NA,8.46,0.15,36.69,NA,NA,10.62,NA,NA,NA
"1090",1988-01-15,"00MA",10,2.64,42.87,NA,2.2,28.44,1.12,0.65,1.2,1.85,13.33,268.85,98,NA,8.45,0.09,37.05,NA,NA,10.71,NA,NA,NA
"1091",1988-01-15,"00MA",16,2.55,43.77,NA,2.18,28.53,1.36,0.79,1.12,1.91,7.47,234.02,86.9,NA,8.37,0.15,37.36,NA,NA,11.52,NA,NA,NA
"1092",1988-02-15,"000F",0,2.96,107.63,NA,2.59,29,4.99,0.22,0.31,0.53,31,274.66,100.1,NA,8.32,0.01,37.7,NA,0.05,10.5,NA,NA,NA
"1093",1988-02-15,"000F",5,2.91,38.85,NA,2.54,28.76,2.67,0.43,0.35,0.78,11.67,272.87,105,NA,8.3,0.03,38.01,NA,0.1,12.98,NA,NA,NA
"1094",1988-02-15,"000F",10,3.03,33.49,NA,2.66,29.02,3.87,0.27,1.06,1.33,106,276,100.2,NA,8.31,0.01,37.7,NA,0.01,10.34,NA,NA,NA
"1095",1988-02-15,"000F",21,3.04,19.65,NA,2.67,29.12,2.37,0.35,0.72,1.07,72,276.22,100.6,NA,8.31,0.01,37.81,NA,0.01,10.435,NA,NA,NA
"1096",1988-02-15,"000K",0,3.04,86.19,NA,2.67,28.68,3.21,0.87,0.9,1.77,11.25,273.77,100.2,NA,8.92,0.08,37.36,NA,NA,10.8,NA,NA,NA
"1097",1988-02-15,"000K",5,2.94,71.9,NA,2.53,28.82,2.54,0.72,0.42,1.14,14,279.12,101.5,NA,8.33,0.03,37.5,NA,NA,10.53,NA,NA,NA
"1098",1988-02-15,"000K",10,3.06,35.28,NA,2.69,29.06,2.6,0.99,1.15,2.14,38.33,270.19,96,NA,8.32,0.03,37.52,NA,NA,9.39,NA,NA,NA
"1099",1988-02-15,"000K",16,2.98,32.6,NA,2.61,29.04,3.93,0.36,0.76,1.12,76,271.09,98.8,NA,8.3,0.01,37.75,NA,NA,10.51,NA,NA,NA
"1100",1988-02-15,"00MA",0,2.99,87.53,NA,2.62,28.63,3.54,0.55,0.84,1.39,84,276,101,NA,8.28,0.01,37.3,NA,NA,10.8,NA,NA,NA
"1101",1988-02-15,"00MA",5,2.99,70.56,NA,2.62,28.76,4.25,0.34,1.05,1.39,105,275.11,99.8,NA,8.28,0.01,37.38,NA,NA,10.41,NA,NA,NA
"1102",1988-02-15,"00MA",10,2.99,22.78,NA,2.58,28.96,2.53,0.33,0.54,0.87,54,259.92,94.7,NA,8.33,0.01,37.69,NA,NA,10.49,NA,NA,NA
"1103",1988-02-15,"00MA",16,3.01,73.69,NA,2.64,28.23,3.33,0.38,0.62,1,62,276.45,100.7,NA,8.32,0.01,37.61,NA,NA,10.48,NA,NA,NA
"1104",1988-03-15,"000F",0,2.85,121.48,NA,2.42,28.89,2.94,0.17,1.49,1.66,149,271.53,97.3,NA,8.43,0.01,37.41,NA,0.01,9.8,NA,NA,NA
"1105",1988-03-15,"000F",5,2.96,91.55,NA,2.52,29.23,2.78,0.11,1.3,1.41,130,275.55,98.7,NA,8.42,0.01,37.83,NA,0.01,9.71,NA,NA,NA
"1106",1988-03-15,"000F",10,2.91,80.39,NA,2.46,29.22,3.13,0.11,1.48,1.59,148,278.23,99.7,NA,8.43,0.01,37.81,NA,0.01,9.71,NA,NA,NA
"1107",1988-03-15,"000F",21,2.85,85.75,NA,2.42,29.26,2.72,0.18,2.24,2.42,224,277.34,99.2,NA,8.44,0.01,37.84,NA,0.01,9.59,NA,NA,NA
"1108",1988-03-15,"000K",0,2.87,64.31,NA,2.44,28.85,4.24,0.11,1.42,1.53,142,277.34,99,NA,8.45,0.01,37.32,NA,NA,9.8,NA,NA,NA
"1109",1988-03-15,"000K",5,2.82,41.98,NA,2.76,NA,2.75,0.1,0.84,0.94,84,277.34,NA,NA,NA,0.01,37.36,NA,NA,NA,NA,NA,NA
"1110",1988-03-15,"000K",10,2.82,104.06,NA,2.4,NA,2.27,0.12,1.32,1.44,132,276.89,NA,NA,NA,0.01,37.68,NA,NA,NA,NA,NA,NA
"1111",1988-03-15,"000K",16,2.79,83.07,NA,2.37,NA,2.55,0.13,1.17,1.3,39,268.41,NA,NA,NA,0.03,37.7,NA,NA,NA,NA,NA,NA
"1112",1988-03-15,"00MA",0,2.82,87.09,NA,2.4,28.88,3.41,0.1,0.82,0.92,82,275.55,98.6,NA,8.43,0.01,37.39,NA,NA,9.8,NA,NA,NA
"1113",1988-03-15,"00MA",5,2.88,100.04,NA,2.45,NA,2.58,0.08,1.27,1.35,42.33,270.64,NA,NA,NA,0.03,37.61,NA,NA,NA,NA,NA,NA
"1114",1988-03-15,"00MA",10,2.9,93.79,NA,2.46,NA,3.14,0.08,1.44,1.52,144,275.55,NA,NA,NA,0.01,37.32,NA,NA,NA,NA,NA,NA
"1115",1988-03-15,"00MA",16,2.97,66.99,NA,2.53,NA,2.58,0.04,0.6,0.64,60,274.66,NA,NA,NA,0.01,37.68,NA,NA,NA,NA,NA,NA
"1116",1988-04-15,"000F",0,2.76,56.72,NA,2.37,27.99,5.64,0.08,2.1,2.18,21,273.77,102.8,NA,8.33,0.1,36.83,NA,2.41,12.2,NA,NA,NA
"1117",1988-04-15,"000F",5,2.76,98.25,NA,2.37,28.22,4.76,0.1,1.26,1.36,126,272.43,102.9,NA,8.33,0.01,37.14,NA,1.48,12.26,NA,NA,NA
"1118",1988-04-15,"000F",10,2.76,85.3,NA,2.37,28.22,6.54,0.09,1.12,1.21,112,274.66,103.7,NA,8.33,0.01,37.14,NA,1.13,12.26,NA,NA,NA
"1119",1988-04-15,"000F",21,2.79,27.24,NA,2.43,29.065,6.4,0.08,0.42,0.5,42,263.94,98.3,NA,8.31,0.01,37.84,NA,1.33,11.325,NA,NA,NA
"1120",1988-04-15,"000K",0,3.27,41.09,NA,2.79,28.21,0.9,0.09,1.74,1.83,34.8,271.09,102.5,NA,8.41,0.05,37.16,NA,NA,12.4,NA,NA,NA
"1121",1988-04-15,"000K",5,2.74,20.54,NA,2.32,28.46,0.54,0.08,1.15,1.23,115,266.62,101,NA,8.42,0.01,37.47,NA,NA,12.38,NA,NA,NA
"1122",1988-04-15,"000K",10,2.72,67.88,NA,2.31,28.45,0.3,0.08,1.45,1.53,145,269.3,108.5,NA,8.4,0.01,37.39,NA,NA,12.11,NA,NA,NA
"1123",1988-04-15,"000K",16,2.69,NA,NA,2.28,28.56,0.84,0.1,1.03,1.13,12.88,230,86.4,NA,8.38,0.08,37.5,NA,NA,12,NA,NA,NA
"1124",1988-04-15,"00MA",0,3.03,60.74,NA,2.67,27.08,6.66,0.15,6.24,6.39,89.14,267.51,99.8,NA,8.31,0.07,35.68,NA,NA,12.3,NA,NA,NA
"1125",1988-04-15,"00MA",5,2.87,66.1,NA,2.5,28.34,6.24,0.08,1.03,1.11,103,274.66,103.7,NA,8.32,0.01,37.3,NA,NA,12.31,NA,NA,NA
"1126",1988-04-15,"00MA",10,2.85,26.8,NA,2.46,28.36,5.7,0.09,1.06,1.15,13.25,275.55,103.9,NA,8.33,0.08,37.3,NA,NA,12.21,NA,NA,NA
"1127",1988-04-15,"00MA",16,2.69,6.7,NA,2.33,28.25,6.54,0.08,0.7,0.78,23.33,262.6,98.3,NA,8.32,0.03,37.1,NA,NA,11.99,NA,NA,NA
"1128",1988-05-15,"000F",0,2.67,89.32,NA,2.13,25.83,1.61,0.02,0.03,0.05,3,266.17,109,NA,8.55,0.01,35.35,NA,0.01,16.9,NA,NA,NA
"1129",1988-05-15,"000F",5,2.59,127.73,NA,2.02,26.74,0.97,0.02,0.07,0.09,7,285.38,113.9,NA,8.55,0.01,36.08,NA,0.01,15.4,NA,NA,NA
"1130",1988-05-15,"000F",10,2.58,106.74,NA,2.07,27.28,1.08,NA,0.07,NA,7,275.11,109,NA,8.51,0.01,36.6,NA,0.01,14.77,NA,NA,NA
"1131",1988-05-15,"000F",21,2.56,144.7,NA,2.16,28.3,1.07,0.01,0.26,0.27,26,263.49,100.2,NA,8.4,0.01,37.34,NA,0.79,12.64,NA,NA,NA
